Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Wed, Sep 10, 2015 thru Tue, Sep 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F11073782332  CR-Z         2015  23892  24705  Fields, Roland          Fri, Sep 12, 2015       D10-07-02 
 JH155FU1A737X7884  Odyssey      2015  44544  47825  Wright, Emma            Wed, Sep 10, 2015       D10-07-04 
 JC131F11373782336  CR-V         2015  28426  30995  Wright, Emma            Thu, Sep 11, 2015       D10-07-04 
 JC131F11473718998  CR-V         2015  30674  30995  Fields, Roland          Thu, Sep 11, 2015       D10-07-02 
 JA1X5SU20737X789X  Accord       2015  26944  27089  Marshall, Allan         Sat, Sep 13, 2015       D10-07-01 
 JA1X9S426737X7892  Accord       2015  33016  33089  Ross, Darren            Thu, Sep 11, 2015       D10-07-05 
 JA113SU3773729AB4  Accord       2015  22636  23480  Marshall, Allan         Sun, Sep 14, 2015       D10-07-01 
 JC133FU157374BCX6  CR-V         2015  31081  33995  Marshall, Allan         Thu, Sep 11, 2015       D10-07-01 
 JC131F11673729AB8  CR-V         2015  31156  30995  Wright, Emma            Thu, Sep 11, 2015       D10-07-04 
 JB127S1397373ABXX  Civic        2015  16357  16655  Wright, Emma            Sat, Sep 13, 2015       D10-07-04 
 JA111S1317375CX22  Accord       2015  21480  22480  Marshall, Allan         Sat, Sep 13, 2015       D10-07-01 
 JH153FU11737189B4  Odyssey      2015  44133  45825  Ross, Darren            Thu, Sep 11, 2015       D10-07-05 
 JD138FU10737X78A6  CR-Z         2015  26523  27705  Ross, Darren            Mon, Sep 15, 2015       D10-07-05 
 JB128SU3373771248  Civic        2015  17000  17455  Ross, Darren            Sun, Sep 14, 2015       D10-07-05 
 JH159F41A7376X27X  Odyssey      2015  53314  56825  Wright, Emma            Sun, Sep 14, 2015       D10-07-04 
 JA12AF436737X7912  Accord       2015  38749  41930  Wright, Emma            Tue, Sep 16, 2015       D10-07-04 
 JC132FU1873718A24  CR-V         2015  31960  31995  Gardner, Salvador       Tue, Sep 16, 2015       D10-07-03 
 JB127S1307375C166  Civic        2015  16624  16655  Ross, Darren            Thu, Sep 11, 2015       D10-07-05 
 JE143FU157374BX58  Crosstour    2015  37379  40640  Fields, Roland          Thu, Sep 11, 2015       D10-07-02 
 JB13ASU477377139X  Civic        2015  23980  23855  Fields, Roland          Thu, Sep 11, 2015       D10-07-02 
 JB123H1567376X282  Civic        2015  26139  27600  Ross, Darren            Mon, Sep 15, 2015       D10-07-05 
 JB121S1297376X284  Civic        2015  15997  16455  Fields, Roland          Wed, Sep 10, 2015       D10-07-02 
 JH159F4127373AC56  Odyssey      2015  52444  56825  Fields, Roland          Sat, Sep 13, 2015       D10-07-02 
 JB127S1367374BX68  Civic        2015  15824  16655  Alvarez, David          Sat, Sep 13, 2015       D10-07-06 
 JC131F11A737713AX  CR-V         2015  30032  30995  Fields, Roland          Sat, Sep 13, 2015       D10-07-02 
 JH152SU117373AC62  Odyssey      2015  30397  30375  Ross, Darren            Thu, Sep 11, 2015       D10-07-05 
 JB127S1327376X294  Civic        2015  16713  16655  Alvarez, David          Sun, Sep 14, 2015       D10-07-06 
 JH15AS118737713A6  Odyssey      2015  29432  29375  Alvarez, David          Sat, Sep 13, 2015       D10-07-06 
 JB123H15A7376X298  Civic        2015  27432  27600  Alvarez, David          Thu, Sep 11, 2015       D10-07-06 
 JH157F3187374BX8X  Odyssey      2015  44837  45825  Alvarez, David          Sun, Sep 14, 2015       D10-07-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU1853618621  Odyssey     2005  22080  30375  Alvarez, David          Fri, Sep 12, 2015       D10-07-06 
 JB127S13953P5CA63  Civic       2005  12639  16655  Gardner, Salvador       Sun, Sep 14, 2015       D10-07-03 
 JJ161FU18641X7515  Pilot       2006  39905  42970  Ross, Darren            Fri, Sep 12, 2015       D10-07-05 
 JJ162FU1351118627  Pilot       2005  33668  44970  Alvarez, David          Fri, Sep 12, 2015       D10-07-06 
 JB123H15A21418629  Civic       2002  14608  27600  Ross, Darren            Fri, Sep 12, 2015       D10-07-05 
 JH152SU194323A851  Odyssey     2004  19872  30375  Ross, Darren            Sat, Sep 13, 2015       D10-07-05 
 JH15AS1126X16XB83  Odyssey     2006  24400  29375  Ross, Darren            Sat, Sep 13, 2015       D10-07-05 
 JB121S12352129745  Civic       2005  12738  16455  Wright, Emma            Fri, Sep 12, 2015       D10-07-04 
