Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Wed, Sep 10, 2015 thru Tue, Sep 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S1437376X2A2  Civic        2015  22487  23055  Burke, Derrick          Tue, Sep 16, 2015       D11-10-01 
 JA112F131737X7944  Accord       2015  30819  32930  Fields, Joan            Thu, Sep 11, 2015       D11-10-03 
 JB121S1237376X2A6  Civic        2015  15909  16455  Bishop, Joann           Thu, Sep 11, 2015       D11-10-05 
 JC131F110737824C8  CR-V         2015  30353  30995  Day, Jennifer           Mon, Sep 15, 2015       D11-10-06 
 JA117S33673718A6X  Accord       2015  21898  23480  Lambert, Donna          Tue, Sep 16, 2015       D11-10-04 
 JD137FU14737X7952  CR-Z         2015  24012  25705  Bishop, Joann           Thu, Sep 11, 2015       D11-10-05 
 JG148F1177373AC84  Insight      2015  24111  24390  Bishop, Joann           Sun, Sep 14, 2015       D11-10-05 
 JF146S11073729B76  Fit          2015  16378  16025  Mason, Felicia          Mon, Sep 15, 2015       D11-10-02 
 JD138FU19737X7958  CR-Z         2015  27532  27705  Fields, Joan            Tue, Sep 16, 2015       D11-10-03 
 JA1X1S1267374BXAX  Accord       2015  22440  24089  Lambert, Donna          Mon, Sep 15, 2015       D11-10-04 
 JJ163F31673782412  Pilot        2015  41669  42970  Day, Jennifer           Mon, Sep 15, 2015       D11-10-06 
 JB128SU3573782414  Civic        2015  16722  17455  Mason, Felicia          Mon, Sep 15, 2015       D11-10-02 
 JJ162FU117376X2C6  Pilot        2015  43098  44970  Burke, Derrick          Mon, Sep 15, 2015       D11-10-01 
 JH156S3177376X2C8  Odyssey      2015  30397  30375  Fields, Joan            Tue, Sep 16, 2015       D11-10-03 
 JB121S1257373ACAX  Civic        2015  16085  16455  Lambert, Donna          Wed, Sep 10, 2015       D11-10-04 
 JD136F1107374BXB2  CR-Z         2015  24667  24705  Fields, Joan            Tue, Sep 16, 2015       D11-10-03 
 JB128SU387375C1C4  Civic        2015  17186  17455  Lambert, Donna          Wed, Sep 10, 2015       D11-10-04 
 JD136F11373718A86  CR-Z         2015  22730  24705  Burke, Derrick          Sun, Sep 14, 2015       D11-10-01 
 JC131F1177374BXB8  CR-V         2015  29229  30995  Bishop, Joann           Sun, Sep 14, 2015       D11-10-05 
 JC134F3177377132X  CR-V         2015  29973  31995  Mason, Felicia          Fri, Sep 12, 2015       D11-10-02 
 JB121S1267376X212  Civic        2015  16437  16455  Fields, Joan            Thu, Sep 11, 2015       D11-10-03 
 JB127S1307374BXC4  Civic        2015  15913  16655  Fields, Joan            Sun, Sep 14, 2015       D11-10-03 
 JE142FU157373ACB6  Crosstour    2015  37379  38640  Burke, Derrick          Sun, Sep 14, 2015       D11-10-01 
 JB129S14A73718A98  Civic        2015  23091  23055  Day, Jennifer           Wed, Sep 10, 2015       D11-10-06 
 JA1X5SU2173729BBX  Accord       2015  26239  27089  Bishop, Joann           Fri, Sep 12, 2015       D11-10-05 
 JA111S13A7373ACC2  Accord       2015  21480  22480  Mason, Felicia          Fri, Sep 12, 2015       D11-10-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1114163A885  Insight     2004  16492  24390  Lambert, Donna          Fri, Sep 12, 2015       D11-10-04 
 JH15AS118516X7557  Odyssey     2005  22221  29375  Burke, Derrick          Thu, Sep 11, 2015       D11-10-01 
 JD139F316123X7559  CR-Z        2001  11053  25705  Burke, Derrick          Wed, Sep 10, 2015       D11-10-01 
 JD137FU122X6X7561  CR-Z        2002  13613  25705  Mason, Felicia          Sat, Sep 13, 2015       D11-10-02 
 JB129S14141P5CAB3  Civic       2004  15614  23055  Burke, Derrick          Sat, Sep 13, 2015       D11-10-01 
 JB125G16625P82X15  Civic       2002  15083  28505  Bishop, Joann           Mon, Sep 15, 2015       D11-10-05 
 JH152SU174165CAB7  Odyssey     2004  19313  30375  Burke, Derrick          Thu, Sep 11, 2015       D11-10-01 
 JB127S13244682X19  Civic       2004  11403  16655  Burke, Derrick          Wed, Sep 10, 2015       D11-10-01 
 JD138FU184495CAC1  CR-Z        2004  18163  27705  Bishop, Joann           Thu, Sep 11, 2015       D11-10-05 
 JH153FU1934482X23  Odyssey     2003  27765  45825  Fields, Joan            Wed, Sep 10, 2015       D11-10-03 
 JH152SU111346XBX5  Odyssey     2001  12150  30375  Burke, Derrick          Thu, Sep 11, 2015       D11-10-01 
 JH151F11021282X27  Odyssey     2002  22525  44825  Burke, Derrick          Wed, Sep 10, 2015       D11-10-01 
 JK165F1183413A8A9  Ridgeline   2003  28320  46750  Bishop, Joann           Thu, Sep 11, 2015       D11-10-05 
 JC131F11531P297A1  CR-V        2003  18867  30995  Day, Jennifer           Mon, Sep 15, 2015       D11-10-06 
 JH151F11A4365CAX3  Odyssey     2004  29939  44825  Burke, Derrick          Sun, Sep 14, 2015       D11-10-01 
 JH154SU125X6X7585  Odyssey     2005  23492  32375  Mason, Felicia          Fri, Sep 12, 2015       D11-10-02 
 JH151F1152513A8B7  Odyssey     2002  23651  44825  Burke, Derrick          Tue, Sep 16, 2015       D11-10-01 
