Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Wed, Sep 10, 2015 thru Tue, Sep 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X2F12373783C26  Accord       2015  32618  33030  Morrison, Irene         Tue, Sep 16, 2015       D22-20-07 
 JG148F11073761AX8  Insight      2015  24621  24390  Nichols, Colleen        Sun, Sep 14, 2015       D22-20-04 
 JC131F11A73783C3X  CR-V         2015  30674  30995  Thompson, Gail          Tue, Sep 16, 2015       D22-20-03 
 JH157F31A73719592  Odyssey      2015  42724  45825  Nichols, Colleen        Sat, Sep 13, 2015       D22-20-04 
 JA1X3SU277374C8C4  Accord       2015  23723  25089  Tucker, Ann             Fri, Sep 12, 2015       D22-20-02 
 JH158S4197373B7B6  Odyssey      2015  38250  41375  Morrison, Irene         Sat, Sep 13, 2015       D22-20-07 
 JC132FU107373B7B8  CR-V         2015  29476  31995  Tucker, Ann             Wed, Sep 10, 2015       D22-20-02 
 JC131F1127373B7CX  CR-V         2015  28586  30995  Soto, Roger             Mon, Sep 15, 2015       D22-20-06 
 JC131F118737X8492  CR-V         2015  28747  30995  Young, Carlos           Wed, Sep 10, 2015       D22-20-05 
 JG149FU1973761A24  Insight      2015  23946  25190  Nichols, Colleen        Fri, Sep 12, 2015       D22-20-04 
 JK169F4187375X916  Ridgeline    2015  56282  58750  Soto, Roger             Wed, Sep 10, 2015       D22-20-06 
 JC132FU197375X918  CR-V         2015  31464  31995  Soto, Roger             Fri, Sep 12, 2015       D22-20-06 
 JD136F1137372A6CX  CR-Z         2015  22859  24705  Morrison, Irene         Thu, Sep 11, 2015       D22-20-07 
 JB129S1497373B7X2  Civic        2015  21641  23055  Morrison, Irene         Thu, Sep 11, 2015       D22-20-07 
 JB127S13573761A34  Civic        2015  16268  16655  Romero, Gladys          Thu, Sep 11, 2015       D22-20-08 
 JB127S1357372A6C6  Civic        2015  16179  16655  Soto, Roger             Wed, Sep 10, 2015       D22-20-06 
 JC131F1107372A6C8  CR-V         2015  29550  30995  Morrison, Irene         Sun, Sep 14, 2015       D22-20-07 
 JB121S1267373B84X  Civic        2015  16261  16455  Thompson, Gail          Sat, Sep 13, 2015       D22-20-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1152474BX97  CR-Z        2002  12465  24705  Soto, Roger             Mon, Sep 15, 2015       D22-20-06 
 JC131F118136X7959  CR-V        2001  12398  30995  Romero, Gladys          Wed, Sep 10, 2015       D22-20-08 
 JB127S13521P82411  Civic       2002  8862   16655  Thompson, Gail          Tue, Sep 16, 2015       D22-20-03 
 JB129S14942P5C1B3  Civic       2004  15614  23055  Soto, Roger             Sun, Sep 14, 2015       D22-20-06 
 JB127S1334X33AC95  Civic       2004  11403  16655  Romero, Gladys          Sun, Sep 14, 2015       D22-20-08 
 JE141F11222782417  Crosstour   2002  18932  37640  Nichols, Colleen        Mon, Sep 15, 2015       D22-20-04 
 JH151F11A2X65C1B9  Odyssey     2002  23651  44825  Tucker, Ann             Tue, Sep 16, 2015       D22-20-02 
 JH152SU164X829B91  Odyssey     2004  20430  30375  Soto, Roger             Thu, Sep 11, 2015       D22-20-06 
 JD138FU164X63ACA3  CR-Z        2004  18674  27705  Morrison, Irene         Tue, Sep 16, 2015       D22-20-07 
 JH153FU1041P71315  Odyssey     2004  29760  45825  Thompson, Gail          Sat, Sep 13, 2015       D22-20-03 
 JJ161FU1861529B97  Pilot       2006  35276  42970  Tucker, Ann             Sun, Sep 14, 2015       D22-20-02 
