Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Wed, Sep 10, 2015 thru Tue, Sep 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S12373783256  Accord       2015  23449  24089  Lucas, Jose             Wed, Sep 10, 2015       D29-25-06 
 JH151F1117375XC28  Odyssey      2015  43422  44825  Lawson, Carolyn         Thu, Sep 11, 2015       D29-25-02 
 JA1X5SU287375XX6X  Accord       2015  25674  27089  Graham, Sheila          Mon, Sep 15, 2015       D29-25-03 
 JH157F31573719922  Odyssey      2015  42959  45825  Graham, Sheila          Mon, Sep 15, 2015       D29-25-03 
 JF147SU1473772284  Fit          2015  15885  16825  Lawson, Carolyn         Tue, Sep 16, 2015       D29-25-02 
 JD138FU197374CC56  CR-Z         2015  27388  27705  Lawson, Carolyn         Sat, Sep 13, 2015       D29-25-02 
 JA115SU387372AA38  Accord       2015  24609  25480  Graham, Sheila          Sun, Sep 14, 2015       D29-25-03 
 JB129S1407374CC6X  Civic        2015  22124  23055  Lawson, Carolyn         Fri, Sep 12, 2015       D29-25-02 
 JB121S12473761182  Civic        2015  15558  16455  Graham, Sheila          Tue, Sep 16, 2015       D29-25-03 
 JB121S12473772294  Civic        2015  16701  16455  Walker, Roland          Fri, Sep 12, 2015       D29-25-04 
 JK166FU127372AA46  Ridgeline    2015  43987  47750  Rodriguez, Leonard      Tue, Sep 16, 2015       D29-25-01 
 JH152SU1173719938  Odyssey      2015  29925  30375  Coleman, Arnold         Sun, Sep 14, 2015       D29-25-05 
 JH154SU17737722AX  Odyssey      2015  32495  32375  Graham, Sheila          Mon, Sep 15, 2015       D29-25-03 
 JB129S140737X8832  Civic        2015  22850  23055  Rodriguez, Leonard      Sun, Sep 14, 2015       D29-25-01 
 JB123H1517374CC74  Civic        2015  27001  27600  Coleman, Arnold         Mon, Sep 15, 2015       D29-25-05 
 JA111S13273761196  Accord       2015  21008  22480  Rodriguez, Leonard      Sat, Sep 13, 2015       D29-25-01 
 JC131F11573719948  CR-V         2015  29871  30995  Lucas, Jose             Tue, Sep 16, 2015       D29-25-06 
 JB123H1577372AA6X  Civic        2015  27719  27600  Coleman, Arnold         Wed, Sep 10, 2015       D29-25-05 
 JD136F1147372AA62  CR-Z         2015  24925  24705  Lawson, Carolyn         Sun, Sep 14, 2015       D29-25-02 
 JC132FU127372AA64  CR-V         2015  29973  31995  Graham, Sheila          Mon, Sep 15, 2015       D29-25-03 
 JE145F4177374CC86  Crosstour    2015  44899  46640  Coleman, Arnold         Wed, Sep 10, 2015       D29-25-05 
 JA118F33A7375XX98  Accord       2015  33126  33930  Graham, Sheila          Sun, Sep 14, 2015       D29-25-03 
 JA116FU3A737611BX  Accord       2015  33349  35930  Graham, Sheila          Thu, Sep 11, 2015       D29-25-03 
 JA113SU337374CC92  Accord       2015  22144  23480  Rodriguez, Leonard      Fri, Sep 12, 2015       D29-25-01 
 JD138FU12737833X4  CR-Z         2015  26523  27705  Lawson, Carolyn         Mon, Sep 15, 2015       D29-25-02 
 JH153FU127375XXA6  Odyssey      2015  44133  45825  Lucas, Jose             Tue, Sep 16, 2015       D29-25-06 
 JD136F117737X8858  CR-Z         2015  22859  24705  Graham, Sheila          Fri, Sep 12, 2015       D29-25-03 
 JB129S148737X886X  Civic        2015  21762  23055  Rodriguez, Leonard      Mon, Sep 15, 2015       D29-25-01 
