Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Wed, Sep 17, 2015 thru Tue, Sep 23, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12A73871A22  Civic        2015  16788  16455  Simpson, Greg           Thu, Sep 18, 2015       D02-02-05 
 JH158S4137383A6B4  Odyssey      2015  41012  41375  Shelton, Judith         Sun, Sep 21, 2015       D02-02-03 
 JB121S12673818496  Civic        2015  16085  16455  Simpson, Greg           Mon, Sep 22, 2015       D02-02-05 
 JJ16AF11473871A28  Pilot        2015  39000  41970  Shelton, Marion         Sat, Sep 20, 2015       D02-02-04 
 JB129S14573882B4X  Civic        2015  21882  23055  Moore, Carla            Thu, Sep 18, 2015       D02-02-02 
 JA118F33073871A32  Accord       2015  32250  33930  Shelton, Judith         Sun, Sep 21, 2015       D02-02-03 
 JB127S1357386X924  Civic        2015  15735  16655  Watson, Peggy           Sun, Sep 21, 2015       D02-02-01 
 JC132FU12738295B6  CR-V         2015  29973  31995  Shelton, Marion         Mon, Sep 22, 2015       D02-02-04 
 JA1X4FU257385C818  Accord       2015  31287  34030  Shelton, Marion         Fri, Sep 19, 2015       D02-02-04 
 JC131F1197384B71X  CR-V         2015  30192  30995  Snyder, Pauline         Tue, Sep 23, 2015       D02-02-06 
 JB125G16A73871A42  Civic        2015  28000  28505  Snyder, Pauline         Thu, Sep 18, 2015       D02-02-06 
 JA1X1S12573871A44  Accord       2015  24205  24089  Snyder, Pauline         Sat, Sep 20, 2015       D02-02-06 
 JH157F3167383A6X6  Odyssey      2015  41316  45825  Shelton, Marion         Wed, Sep 17, 2015       D02-02-04 
 JH154SU137386X938  Odyssey      2015  29982  32375  Moore, Carla            Tue, Sep 23, 2015       D02-02-02 
 JJ162FU177386XA7X  Pilot        2015  40794  44970  Snyder, Pauline         Thu, Sep 18, 2015       D02-02-06 
 JE141F1157383A742  Crosstour    2015  36439  37640  Shelton, Judith         Wed, Sep 17, 2015       D02-02-03 
 JA112F13A73818524  Accord       2015  30308  32930  Snyder, Pauline         Sun, Sep 21, 2015       D02-02-06 
 JA113SU3A7384B856  Accord       2015  23374  23480  Snyder, Pauline         Wed, Sep 17, 2015       D02-02-06 
 JG148F1147386XA78  Insight      2015  23984  24390  Shelton, Judith         Sat, Sep 20, 2015       D02-02-03 
 JH153FU167385C97X  Odyssey      2015  45306  45825  Moore, Carla            Mon, Sep 22, 2015       D02-02-02 
 JB13ASU4073829642  Civic        2015  22856  23855  Shelton, Marion         Sat, Sep 20, 2015       D02-02-04 
 JH15AS11973871B94  Odyssey      2015  27602  29375  Moore, Carla            Thu, Sep 18, 2015       D02-02-02 
