Dealer Name: Royal Honda
Address:     8627 Davis Highway
             Port Kiln, SC
Dealer ID:   13
Owner:       Olson, Julie
Date:        Wed, Sep 17, 2015 thru Tue, Sep 23, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1117383AX86  Insight      2015  23856  24390  Austin, Marcus          Tue, Sep 23, 2015       D13-12-02 
 JC131F1127386X3B8  CR-V         2015  30353  30995  Austin, Marcus          Sun, Sep 21, 2015       D13-12-02 
 JA117S3317383AX9X  Accord       2015  21775  23480  Watkins, Terrence       Tue, Sep 23, 2015       D13-12-01 
 JA1X1S12273818B72  Accord       2015  22566  24089  Oliver, Walter          Fri, Sep 19, 2015       D13-12-03 
 JA114FU3073882514  Accord       2015  32776  33930  Austin, Marcus          Sun, Sep 21, 2015       D13-12-02 
 JA115SU3173818B76  Accord       2015  23944  25480  Romero, Ruby            Sun, Sep 21, 2015       D13-12-04 
 JA1X3SU217386X3C8  Accord       2015  24116  25089  Oliver, Walter          Thu, Sep 18, 2015       D13-12-03 
 JD137FU187386X3XX  CR-Z         2015  24415  25705  Watkins, Terrence       Thu, Sep 18, 2015       D13-12-01 
 JH153FU137383AXA2  Odyssey      2015  44367  45825  Oliver, Walter          Sun, Sep 21, 2015       D13-12-03 
 JH156S3157383AXA4  Odyssey      2015  29452  30375  Romero, Ruby            Fri, Sep 19, 2015       D13-12-04 
 JH151F11973871416  Odyssey      2015  40895  44825  Romero, Ruby            Tue, Sep 23, 2015       D13-12-04 
 JA115SU3873818B88  Accord       2015  24742  25480  Oliver, Walter          Mon, Sep 22, 2015       D13-12-03 
 JH151F116738X7A8X  Odyssey      2015  43422  44825  Watkins, Terrence       Fri, Sep 19, 2015       D13-12-01 
 JE141F11773882532  Crosstour    2015  37408  37640  Oliver, Walter          Mon, Sep 22, 2015       D13-12-03 
