Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Wed, Sep 24, 2015 thru Tue, Sep 30, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB124HU527392A978  Civic        2015  26867  28400  Stephens, Christy       Tue, Sep 30, 2015       D28-20-06 
 JA1X1S1247391987X  Accord       2015  23827  24089  Stephens, Christy       Wed, Sep 24, 2015       D28-20-06 
 JA111S1327392A982  Accord       2015  21480  22480  Sullivan, Jorge         Thu, Sep 25, 2015       D28-20-02 
 JD136F115739721X4  CR-Z         2015  24151  24705  Sullivan, Jorge         Sun, Sep 28, 2015       D28-20-02 
 JG148F11473919876  Insight      2015  23218  24390  Sullivan, Jorge         Fri, Sep 26, 2015       D28-20-02 
 JE141F11273983218  Crosstour    2015  37214  37640  Sullivan, Jorge         Wed, Sep 24, 2015       D28-20-02 
 JB127S1367393BAAX  Civic        2015  15913  16655  White, Ana              Sun, Sep 28, 2015       D28-20-03 
 JB127S1377393BAA2  Civic        2015  16979  16655  Young, Bryan            Tue, Sep 30, 2015       D28-20-04 
 JC132FU1773919884  CR-V         2015  31298  31995  Stephens, Christy       Wed, Sep 24, 2015       D28-20-06 
 JA111S1317393BAA6  Accord       2015  21480  22480  Simpson, Charlene       Sat, Sep 27, 2015       D28-20-01 
 JC131F11A73961XX8  CR-V         2015  29711  30995  Young, Bryan            Thu, Sep 25, 2015       D28-20-04 
 JB129S1417392A9AX  Civic        2015  22608  23055  Young, Bryan            Thu, Sep 25, 2015       D28-20-04 
 JH152SU1673919892  Odyssey      2015  29767  30375  Simpson, Charlene       Fri, Sep 26, 2015       D28-20-01 
 JA113SU30739X8784  Accord       2015  23005  23480  Gregory, Brad           Thu, Sep 25, 2015       D28-20-05 
 JA1X1S1227393BAB6  Accord       2015  24205  24089  Sullivan, Jorge         Sat, Sep 27, 2015       D28-20-02 
 JD136F1137392A9A8  CR-Z         2015  22988  24705  Sullivan, Jorge         Wed, Sep 24, 2015       D28-20-02 
 JB127S13273961X2X  Civic        2015  15646  16655  Stephens, Christy       Thu, Sep 25, 2015       D28-20-06 
 JB127S1377394CBX2  Civic        2015  16802  16655  Young, Bryan            Tue, Sep 30, 2015       D28-20-04 
 JJ16AF1147395XC14  Pilot        2015  41155  41970  White, Ana              Sat, Sep 27, 2015       D28-20-03 
 JH155FU1373961X26  Odyssey      2015  47236  47825  Gregory, Brad           Fri, Sep 26, 2015       D28-20-05 
 JA113SU387394CBX8  Accord       2015  22021  23480  Sullivan, Jorge         Mon, Sep 29, 2015       D28-20-02 
 JH15AS1147398325X  Odyssey      2015  27145  29375  Sullivan, Jorge         Thu, Sep 25, 2015       D28-20-02 
 JJ161FU1A7392A9C2  Pilot        2015  41890  42970  Simpson, Charlene       Wed, Sep 24, 2015       D28-20-01 
 JB121S1267393BAX4  Civic        2015  16701  16455  Stephens, Christy       Fri, Sep 26, 2015       D28-20-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1102415C3A1  Insight     2002  12307  24390  Sullivan, Jorge         Mon, Sep 29, 2015       D28-20-02 
 JB127S1385483A183  Civic       2005  12885  16655  White, Ana              Sun, Sep 28, 2015       D28-20-03 
 JD138FU11444X7B55  CR-Z        2004  18163  27705  Young, Bryan            Sun, Sep 28, 2015       D28-20-04 
 JE142FU103X4826X7  Crosstour   2003  23454  38640  Sullivan, Jorge         Mon, Sep 29, 2015       D28-20-02 
 JJ163F31141918C69  Pilot       2004  27932  42970  Simpson, Charlene       Fri, Sep 26, 2015       D28-20-01 
 JC133FU1732P18C71  CR-V        2003  20667  33995  Simpson, Charlene       Fri, Sep 26, 2015       D28-20-01 
 JC133FU184515C3B3  CR-V        2004  22812  33995  Gregory, Brad           Fri, Sep 26, 2015       D28-20-05 
 JH154SU191456X4C5  Odyssey     2001  12950  32375  White, Ana              Fri, Sep 26, 2015       D28-20-03 
 JC134F31715PX7B67  CR-V        2001  13757  31995  Sullivan, Jorge         Fri, Sep 26, 2015       D28-20-02 
 JG148F11553P29X89  Insight     2005  18562  24390  Simpson, Charlene       Sun, Sep 28, 2015       D28-20-01 
 JD136F11343571511  CR-Z        2004  16700  24705  Simpson, Charlene       Wed, Sep 24, 2015       D28-20-01 
 JE143FU155356X4X3  Crosstour   2005  29908  40640  Gregory, Brad           Tue, Sep 30, 2015       D28-20-05 
 JB128SU364X929X95  Civic       2004  11929  17455  Sullivan, Jorge         Thu, Sep 25, 2015       D28-20-02 
 JE145F41A31971517  Crosstour   2003  29195  46640  White, Ana              Sat, Sep 27, 2015       D28-20-03 
 JC134F314527X7B79  CR-V        2005  24144  31995  Simpson, Charlene       Sun, Sep 28, 2015       D28-20-01 
 JB129S14432718C91  Civic       2003  14573  23055  Simpson, Charlene       Tue, Sep 30, 2015       D28-20-01 
 JC131F118435X7B83  CR-V        2004  20268  30995  Simpson, Charlene       Thu, Sep 25, 2015       D28-20-01 
