Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Wed, Oct 15, 2015 thru Tue, Oct 21, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X2F1227426XCX2  Accord       2015  32788  33030  Patterson, Hilda        Sun, Oct 19, 2015       D07-07-08 
 JJ161FU1974218784  Pilot        2015  40346  42970  Mills, Naomi            Thu, Oct 16, 2015       D07-07-06 
 JA1X1S121742X7676  Accord       2015  23070  24089  Meyer, Vincent          Thu, Oct 16, 2015       D07-07-03 
 JA111S13774271X18  Accord       2015  21480  22480  Patterson, Hilda        Fri, Oct 17, 2015       D07-07-08 
 JB127S1317428213X  Civic        2015  15913  16655  Meyer, Vincent          Fri, Oct 17, 2015       D07-07-03 
 JE141F110742298A2  Crosstour    2015  35469  37640  Soto, Victor            Fri, Oct 17, 2015       D07-07-07 
 JH153FU1974218794  Odyssey      2015  42489  45825  Patterson, Hilda        Wed, Oct 15, 2015       D07-07-08 
 JA113SU327425CBX6  Accord       2015  23497  23480  Chavez, Joy             Mon, Oct 20, 2015       D07-07-05 
 JH155FU1A7426XC18  Odyssey      2015  46992  47825  Green, Francis          Wed, Oct 15, 2015       D07-07-02 
 JB127S133742298BX  Civic        2015  16802  16655  Patterson, Hilda        Fri, Oct 17, 2015       D07-07-08 
 JD137FU1A742X7692  CR-Z         2015  25890  25705  Green, Francis          Wed, Oct 15, 2015       D07-07-02 
 JD136F11574282144  CR-Z         2015  22730  24705  Mills, Naomi            Sun, Oct 19, 2015       D07-07-06 
 JA113SU377423A9C6  Accord       2015  23620  23480  Soto, Victor            Thu, Oct 16, 2015       D07-07-07 
 JG148F112742X7698  Insight      2015  23218  24390  Meyer, Vincent          Thu, Oct 16, 2015       D07-07-03 
 JE141F1137424BA1X  Crosstour    2015  34307  37640  Caldwell, Wade          Tue, Oct 21, 2015       D07-07-04 
 JA113SU3874282152  Accord       2015  21775  23480  Caldwell, Wade          Tue, Oct 21, 2015       D07-07-04 
 JB125G16A742X76A4  Civic        2015  28741  28505  Schmidt, Phillip        Thu, Oct 16, 2015       D07-07-01 
 JB128SU33742298C6  Civic        2015  17651  17455  Meyer, Vincent          Sat, Oct 18, 2015       D07-07-03 
 JE143FU13742187B8  Crosstour    2015  36962  40640  Patterson, Hilda        Fri, Oct 17, 2015       D07-07-08 
 JC132FU1A7424BB5X  CR-V         2015  30967  31995  Patterson, Hilda        Thu, Oct 16, 2015       D07-07-08 
 JB121S12374218822  Civic        2015  16525  16455  Green, Francis          Tue, Oct 21, 2015       D07-07-02 
 JE142FU18742X7714  Crosstour    2015  37776  38640  Schmidt, Phillip        Sat, Oct 18, 2015       D07-07-01 
 JB127S13874229936  Civic        2015  16535  16655  Meyer, Vincent          Wed, Oct 15, 2015       D07-07-03 
 JD138FU177426XX78  CR-Z         2015  26956  27705  Caldwell, Wade          Thu, Oct 16, 2015       D07-07-04 
 JB121S1247423AA5X  Civic        2015  16788  16455  Patterson, Hilda        Sat, Oct 18, 2015       D07-07-08 
 JA111S138742822A2  Accord       2015  20890  22480  Patterson, Hilda        Thu, Oct 16, 2015       D07-07-08 
 JB121S12174271194  Civic        2015  16701  16455  Schmidt, Phillip        Sat, Oct 18, 2015       D07-07-01 
 JH153FU11742X7726  Odyssey      2015  43194  45825  Schmidt, Phillip        Thu, Oct 16, 2015       D07-07-01 
 JB127S13A742X7728  Civic        2015  16357  16655  Mills, Naomi            Mon, Oct 20, 2015       D07-07-06 
 JH153FU177426XX9X  Odyssey      2015  44367  45825  Caldwell, Wade          Fri, Oct 17, 2015       D07-07-04 
 JB121S12574229952  Civic        2015  16437  16455  Schmidt, Phillip        Tue, Oct 21, 2015       D07-07-01 
 JB125G1667423AA64  Civic        2015  27407  28505  Caldwell, Wade          Fri, Oct 17, 2015       D07-07-04 
 JC131F1187423AA66  CR-V         2015  30674  30995  Meyer, Vincent          Thu, Oct 16, 2015       D07-07-03 
 JA111S1307426XX98  Accord       2015  22070  22480  Patterson, Hilda        Mon, Oct 20, 2015       D07-07-08 
 JC133FU18742X774X  CR-V         2015  33364  33995  Chavez, Joy             Tue, Oct 21, 2015       D07-07-05 
 JE143FU18742822C2  Crosstour    2015  36962  40640  Chavez, Joy             Tue, Oct 21, 2015       D07-07-05 
 JA1X7S3267423AA74  Accord       2015  24510  25089  Schmidt, Phillip        Fri, Oct 17, 2015       D07-07-01 
 JB121S12574229966  Civic        2015  15997  16455  Green, Francis          Sat, Oct 18, 2015       D07-07-02 
 JG148F11074218858  Insight      2015  24621  24390  Patterson, Hilda        Thu, Oct 16, 2015       D07-07-08 
 JC131F118742X775X  CR-V         2015  28426  30995  Patterson, Hilda        Sat, Oct 18, 2015       D07-07-08 
 JB127S137742X7752  Civic        2015  17157  16655  Schmidt, Phillip        Sun, Oct 19, 2015       D07-07-01 
 JE143FU1074218864  Crosstour    2015  38632  40640  Patterson, Hilda        Tue, Oct 21, 2015       D07-07-08 
 JA111S1387426XXB6  Accord       2015  22188  22480  Schmidt, Phillip        Sun, Oct 19, 2015       D07-07-01 
 JH153FU13742822X8  Odyssey      2015  45306  45825  Chavez, Joy             Wed, Oct 15, 2015       D07-07-05 
 JB13ASU427426XXCX  Civic        2015  23231  23855  Green, Francis          Fri, Oct 17, 2015       D07-07-02 
 JD139F3177426XXC2  CR-Z         2015  23878  25705  Chavez, Joy             Tue, Oct 21, 2015       D07-07-05 
 JD137FU167423AA94  CR-Z         2015  25890  25705  Schmidt, Phillip        Mon, Oct 20, 2015       D07-07-01 
 JB121S126742X7766  Civic        2015  16613  16455  Schmidt, Phillip        Wed, Oct 15, 2015       D07-07-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
