Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Wed, Oct 22, 2015 thru Tue, Oct 28, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H15A7432A162  Civic        2015  27863  27600  Armstrong, Amber        Sat, Oct 25, 2015       D36-32-06 
 JG148F1107432A164  Insight      2015  22580  24390  Carr, Linda             Sun, Oct 26, 2015       D36-32-04 
 JH155FU127435X496  Odyssey      2015  46257  47825  Washington, Jerry       Sat, Oct 25, 2015       D36-32-01 
 JH157F3197432A168  Odyssey      2015  42489  45825  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JB129S141743837XX  Civic        2015  23091  23055  Fleming, Larry          Wed, Oct 22, 2015       D36-32-05 
 JB121S122743X8C52  Civic        2015  16964  16455  Armstrong, Amber        Sun, Oct 26, 2015       D36-32-06 
 JG148F116743615B4  Insight      2015  22580  24390  Gonzales, Brian         Wed, Oct 22, 2015       D36-32-03 
 JA1X7S3297435X4A6  Accord       2015  24116  25089  Fleming, Larry          Tue, Oct 28, 2015       D36-32-05 
 JA1X1S1277435X4A8  Accord       2015  23953  24089  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JB127S1327434C3AX  Civic        2015  16179  16655  Washington, Jerry       Wed, Oct 22, 2015       D36-32-01 
 JB127S13A74383712  Civic        2015  17246  16655  Washington, Jerry       Sat, Oct 25, 2015       D36-32-01 
 JB121S1267434C3A4  Civic        2015  16437  16455  Washington, Jerry       Thu, Oct 23, 2015       D36-32-01 
 JD138FU14743615C6  CR-Z         2015  25658  27705  Gonzales, Brian         Tue, Oct 28, 2015       D36-32-03 
 JB121S12A74383718  Civic        2015  17052  16455  Armstrong, Amber        Wed, Oct 22, 2015       D36-32-06 
 JC131F11974319X8X  CR-V         2015  30353  30995  Fleming, Larry          Mon, Oct 27, 2015       D36-32-05 
 JB121S12574372612  Civic        2015  16964  16455  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JB121S12574383724  Civic        2015  16525  16455  Gonzales, Brian         Fri, Oct 24, 2015       D36-32-03 
 JB127S13374372616  Civic        2015  15913  16655  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JH15AS111743X8C78  Odyssey      2015  29127  29375  Gonzales, Brian         Wed, Oct 22, 2015       D36-32-03 
 JH153FU1A7438373X  Odyssey      2015  42255  45825  Webb, Hector            Tue, Oct 28, 2015       D36-32-02 
 JB121S12A74319X92  Civic        2015  16876  16455  Gonzales, Brian         Sun, Oct 26, 2015       D36-32-03 
 JB121S1257433B2B4  Civic        2015  16085  16455  Webb, Hector            Mon, Oct 27, 2015       D36-32-02 
 JB121S12774319X96  Civic        2015  15646  16455  Gonzales, Brian         Sat, Oct 25, 2015       D36-32-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU163393B7A7  Odyssey     2003  19111  30375  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JE141F1114372A699  Crosstour   2004  24521  37640  Carr, Linda             Sun, Oct 26, 2015       D36-32-04 
 JG148F1132373B7B1  Insight     2002  12307  24390  Webb, Hector            Mon, Oct 27, 2015       D36-32-02 
 JH154SU1651372B23  Odyssey     2005  23958  32375  Fleming, Larry          Wed, Oct 22, 2015       D36-32-05 
 JE143FU145X919595  Crosstour   2005  30490  40640  Fleming, Larry          Tue, Oct 28, 2015       D36-32-05 
 JH152SU1133919597  Odyssey     2003  19111  30375  Fleming, Larry          Tue, Oct 28, 2015       D36-32-05 
 JD136F11A34P61A19  CR-Z        2003  15093  24705  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JC131F1144X23B7C1  CR-V        2004  20838  30995  Washington, Jerry       Sun, Oct 26, 2015       D36-32-01 
 JB129S147317X8493  Civic       2003  14573  23055  Washington, Jerry       Sat, Oct 25, 2015       D36-32-01 
 JH152SU1343961A25  Odyssey     2004  20430  30375  Washington, Jerry       Tue, Oct 28, 2015       D36-32-01 
 JH157F3106X661A27  Odyssey     2006  37560  45825  Webb, Hector            Sun, Oct 26, 2015       D36-32-02 
