Dealer Name: Moosebury Honda
Address:     7343 Washington St
             East Valley, FL
Dealer ID:   37
Owner:       Moosebury, Hank
Date:        Wed, Oct 22, 2015 thru Tue, Oct 28, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA116FU3874383738  Accord       2015  35202  35930  Hudson, Roger           Thu, Oct 23, 2015       D37-33-02 
 JA1X5SU2A7433B2CX  Accord       2015  26803  27089  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JC131F11374372632  CR-V         2015  29871  30995  Gonzales, Maureen       Wed, Oct 22, 2015       D37-33-03 
 JC132FU1274383744  CR-V         2015  31960  31995  Hudson, Roger           Fri, Oct 24, 2015       D37-33-02 
 JA1X1S12174319XA6  Accord       2015  23575  24089  Castro, Jenny           Thu, Oct 23, 2015       D37-33-01 
 JD136F1127433B2C8  CR-Z         2015  24151  24705  Craig, Terri            Thu, Oct 23, 2015       D37-33-06 
 JA116FU317438375X  Accord       2015  35387  35930  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JB121S1257433B2X2  Civic        2015  15822  16455  Pearson, Albert         Fri, Oct 24, 2015       D37-33-05 
 JB129S142743X8CA4  Civic        2015  23091  23055  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JE144F3147434C316  Crosstour    2015  37776  38640  Pearson, Albert         Tue, Oct 28, 2015       D37-33-05 
 JB121S12474372648  Civic        2015  17052  16455  Gonzales, Maureen       Thu, Oct 23, 2015       D37-33-03 
 JH153FU127436297X  Odyssey      2015  43194  45825  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JA1X8F3227434X752  Accord       2015  33748  34030  Hudson, Roger           Tue, Oct 28, 2015       D37-33-02 
 JA1X8F3267433C644  Accord       2015  33045  34030  Crawford, Katrina       Fri, Oct 24, 2015       D37-33-04 
 JB127S134743X9316  Civic        2015  16979  16655  Craig, Terri            Thu, Oct 23, 2015       D37-33-06 
 JB127S1387434X758  Civic        2015  16002  16655  Gonzales, Maureen       Sat, Oct 25, 2015       D37-33-03 
 JB127S1397434X76X  Civic        2015  16446  16655  Craig, Terri            Tue, Oct 28, 2015       D37-33-06 
 JH153FU157433C652  Odyssey      2015  42489  45825  Pearson, Albert         Sun, Oct 26, 2015       D37-33-05 
 JB121S12974384BA4  Civic        2015  15822  16455  Castro, Jenny           Thu, Oct 23, 2015       D37-33-01 
 JH153FU1974384BA6  Odyssey      2015  44837  45825  Gonzales, Maureen       Wed, Oct 22, 2015       D37-33-03 
 JA1X3SU2374351878  Accord       2015  23330  25089  Gonzales, Maureen       Thu, Oct 23, 2015       D37-33-03 
 JG149FU18743X933X  Insight      2015  23551  25190  Pearson, Albert         Tue, Oct 28, 2015       D37-33-05 
 JA1X1S12474384BB2  Accord       2015  22944  24089  Castro, Jenny           Fri, Oct 24, 2015       D37-33-01 
 JB122SU2574362994  Civic        2015  17185  17255  Crawford, Katrina       Tue, Oct 28, 2015       D37-33-04 
 JC131F11674351886  CR-V         2015  30514  30995  Craig, Terri            Thu, Oct 23, 2015       D37-33-06 
 JB127S133743X9338  Civic        2015  15913  16655  Pearson, Albert         Mon, Oct 27, 2015       D37-33-05 
 JC132FU127431A45X  CR-V         2015  30801  31995  Crawford, Katrina       Thu, Oct 23, 2015       D37-33-04 
 JK165F1167431A452  Ridgeline    2015  44045  46750  Craig, Terri            Fri, Oct 24, 2015       D37-33-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1313382A6B9  Civic       2003  10605  16655  Gonzales, Maureen       Sun, Oct 26, 2015       D37-33-03 
 JK166FU144X561A31  Ridgeline   2004  30120  47750  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JC131F11143P3B7X3  CR-V        2004  20838  30995  Hudson, Roger           Mon, Oct 27, 2015       D37-33-02 
 JH153FU152X84C815  Odyssey     2002  21873  45825  Gonzales, Maureen       Wed, Oct 22, 2015       D37-33-03 
 JB129S14134672B47  Civic       2003  14573  23055  Craig, Terri            Wed, Oct 22, 2015       D37-33-06 
 JB127S13534772B49  Civic       2003  10263  16655  Pearson, Albert         Mon, Oct 27, 2015       D37-33-05 
 JH153FU1441P83X91  Odyssey     2004  30597  45825  Hudson, Roger           Sat, Oct 25, 2015       D37-33-02 
 JJ164F4105X461B73  Pilot       2005  38738  53970  Hudson, Roger           Sat, Oct 25, 2015       D37-33-02 
 JB127S1324252A735  Civic       2004  11403  16655  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JH15AS11052561B77  Odyssey     2005  21798  29375  Crawford, Katrina       Fri, Oct 24, 2015       D37-33-04 
 JE142FU104152A739  Crosstour   2004  25869  38640  Castro, Jenny           Tue, Oct 28, 2015       D37-33-01 
 JG148F11A6X93B851  Insight     2006  20412  24390  Hudson, Roger           Thu, Oct 23, 2015       D37-33-02 
 JG148F11852661B83  Insight     2005  18208  24390  Pearson, Albert         Tue, Oct 28, 2015       D37-33-05 
 JH153FU134374C965  Odyssey     2004  29760  45825  Gonzales, Maureen       Wed, Oct 22, 2015       D37-33-03 
 JH156S31764772C97  Odyssey     2006  25515  30375  Pearson, Albert         Thu, Oct 23, 2015       D37-33-05 
 JH159F4115485XA79  Odyssey     2005  41562  56825  Pearson, Albert         Mon, Oct 27, 2015       D37-33-05 
 JG148F11521172CA1  Insight     2002  12307  24390  Hudson, Roger           Sat, Oct 25, 2015       D37-33-02 
 JB127S13841172CA3  Civic       2004  11403  16655  Gonzales, Maureen       Thu, Oct 23, 2015       D37-33-03 
 JB127S13464872CA5  Civic       2006  14401  16655  Gonzales, Maureen       Sun, Oct 26, 2015       D37-33-03 
