Dealer Name: Jones Honda Dealer
Address:     6957 Davison Highway
             Clarksville, NC
Dealer ID:   3
Owner:       Jones, Kelly
Date:        Wed, Nov 12, 2015 thru Tue, Nov 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1397465C9AX  Civic        2015  16713  16655  Herrera, Julian         Wed, Nov 12, 2015       D03-03-03 
 JB121S1267466XAB2  Civic        2015  16349  16455  Smith, Maria            Mon, Nov 17, 2015       D03-03-04 
 JA117S3387463A784  Accord       2015  21652  23480  Graham, Jeffery         Thu, Nov 13, 2015       D03-03-06 
 JA116FU307463A786  Accord       2015  33349  35930  Mitchell, Sue           Tue, Nov 18, 2015       D03-03-01 
 JE141F11A74618568  Crosstour    2015  35857  37640  Taylor, Billie          Tue, Nov 18, 2015       D03-03-02 
 JB124HU527463A79X  Civic        2015  26129  28400  Larson, Sonia           Sun, Nov 16, 2015       D03-03-05 
 JA1X3SU2074671BX2  Accord       2015  23723  25089  Smith, Maria            Thu, Nov 13, 2015       D03-03-04 
 JA117S33574629684  Accord       2015  22267  23480  Smith, Maria            Thu, Nov 13, 2015       D03-03-04 
 JH15AS11174671BX6  Odyssey      2015  27602  29375  Graham, Jeffery         Sat, Nov 15, 2015       D03-03-06 
 JB127S13074682C18  Civic        2015  16002  16655  Larson, Sonia           Thu, Nov 13, 2015       D03-03-05 
 JB123H1547461858X  Civic        2015  27288  27600  Larson, Sonia           Fri, Nov 14, 2015       D03-03-05 
 JD136F11274671B12  CR-Z         2015  24667  24705  Larson, Sonia           Thu, Nov 13, 2015       D03-03-05 
 JC133FU1474671B14  CR-V         2015  31608  33995  Herrera, Julian         Wed, Nov 12, 2015       D03-03-03 
 JB121S12974682C26  Civic        2015  16437  16455  Taylor, Billie          Thu, Nov 13, 2015       D03-03-02 
 JH155FU147466XAX8  Odyssey      2015  44544  47825  Smith, Maria            Wed, Nov 12, 2015       D03-03-04 
 JG148F1107466XA1X  Insight      2015  24749  24390  Smith, Maria            Tue, Nov 18, 2015       D03-03-04 
 JB125G163746296A2  Civic        2015  26370  28505  Mitchell, Sue           Mon, Nov 17, 2015       D03-03-01 
 JB129S14874618594  Civic        2015  22003  23055  Smith, Maria            Fri, Nov 14, 2015       D03-03-04 
 JA1X2F1297464B8C6  Accord       2015  31251  33030  Smith, Maria            Tue, Nov 18, 2015       D03-03-04 
 JD136F117746296A8  CR-Z         2015  22859  24705  Taylor, Billie          Fri, Nov 14, 2015       D03-03-02 
 JB122SU257463A7CX  Civic        2015  17461  17255  Mitchell, Sue           Thu, Nov 13, 2015       D03-03-01 
 JA115SU3A7464B8X2  Accord       2015  23678  25480  Graham, Jeffery         Mon, Nov 17, 2015       D03-03-06 
 JK167FU12746296B4  Ridgeline    2015  45533  49750  Larson, Sonia           Wed, Nov 12, 2015       D03-03-05 
 JH151F116746185A6  Odyssey      2015  43652  44825  Larson, Sonia           Sat, Nov 15, 2015       D03-03-05 
