Dealer Name: Thomas Team Honda
Address:     2825 Kline Ave
             Grayland, TN
Dealer ID:   19
Owner:       Thomas, Phil
Date:        Wed, Nov 12, 2015 thru Tue, Nov 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA119S4397464C7B6  Accord       2015  29018  31480  Rodriguez, Marc         Tue, Nov 18, 2015       D19-18-02 
 JB129S1407463B6A8  Civic        2015  23212  23055  Rodriguez, Marc         Mon, Nov 17, 2015       D19-18-02 
 JA1X2F12A7465X8XX  Accord       2015  31081  33030  Sanchez, Walter         Thu, Nov 13, 2015       D19-18-08 
 JC132FU11746X8382  CR-V         2015  30801  31995  Hernandez, Jeanne       Tue, Nov 18, 2015       D19-18-03 
 JB123H1547465X8X4  Civic        2015  25421  27600  Daniels, Ernest         Fri, Nov 14, 2015       D19-18-04 
 JB123H158746X8386  Civic        2015  26570  27600  Hughes, Hazel           Mon, Nov 17, 2015       D19-18-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU124123ABC3  Odyssey     2004  31040  47825  Daniels, Ernest         Thu, Nov 13, 2015       D19-18-04 
 JK166FU1A42882345  Ridgeline   2004  31863  47750  Rodriguez, Marc         Thu, Nov 13, 2015       D19-18-02 
 JH15AS1143X782347  Odyssey     2003  18491  29375  Watkins, Megan          Wed, Nov 12, 2015       D19-18-05 
 JB127S1336X982349  Civic       2006  14401  16655  Rodriguez, Marc         Tue, Nov 18, 2015       D19-18-02 
