Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Wed, Nov 12, 2015 thru Tue, Nov 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S127746X8388  Accord       2015  23575  24089  Smith, Teresa           Fri, Nov 14, 2015       D20-01-04 
 JG148F1157466192X  Insight      2015  22835  24390  Foster, Leah            Tue, Nov 18, 2015       D20-01-05 
 JB124HU5174672A32  Civic        2015  26867  28400  Clark, Veronica         Tue, Nov 18, 2015       D20-01-02 
 JA1X1S1237465X814  Accord       2015  22566  24089  Kelley, Edna            Wed, Nov 12, 2015       D20-01-06 
 JD14AF4147463B6C6  CR-Z         2015  30824  33705  Hoffman, Marilyn        Fri, Nov 14, 2015       D20-01-01 
 JH153FU1574661928  Odyssey      2015  42489  45825  Simpson, Suzanne        Sun, Nov 16, 2015       D20-01-03 
 JH156S31A7464C71X  Odyssey      2015  29294  30375  Kelley, Edna            Wed, Nov 12, 2015       D20-01-06 
 JA111S13974683B52  Accord       2015  22660  22480  Smith, Teresa           Mon, Nov 17, 2015       D20-01-04 
 JB123H1507464C714  Civic        2015  27863  27600  James, Alma             Fri, Nov 14, 2015       D20-01-07 
 JC132FU1A746X83A6  CR-V         2015  30636  31995  Lawson, Tyler           Mon, Nov 17, 2015       D20-01-08 
 JE141F1177465X828  Crosstour    2015  36439  37640  Kelley, Edna            Tue, Nov 18, 2015       D20-01-06 
 JA119S43A7462A63X  Accord       2015  29507  31480  Hoffman, Marilyn        Wed, Nov 12, 2015       D20-01-01 
 JG148F11774672B82  Insight      2015  23473  24390  Lawson, Tyler           Mon, Nov 17, 2015       D20-01-08 
 JA1X3SU27746X8414  Accord       2015  23723  25089  Simpson, Suzanne        Tue, Nov 18, 2015       D20-01-03 
 JA1X3SU2574672B86  Accord       2015  23592  25089  Lawson, Tyler           Tue, Nov 18, 2015       D20-01-08 
 JB121S1297462A638  Civic        2015  16701  16455  Simpson, Suzanne        Sat, Nov 15, 2015       D20-01-03 
 JC134F31A7465X97X  CR-V         2015  31960  31995  Clark, Veronica         Sat, Nov 15, 2015       D20-01-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB128SU396X85CX21  Civic       2006  14864  17455  James, Alma             Fri, Nov 14, 2015       D20-01-07 
 JH157F3131X63ABX3  Odyssey     2001  18330  45825  Hoffman, Marilyn        Sat, Nov 15, 2015       D20-01-01 
 JE141F117147X78A5  Crosstour   2001  15056  37640  James, Alma             Tue, Nov 18, 2015       D20-01-07 
 JE144F31952P82357  Crosstour   2005  28468  38640  Foster, Leah            Sun, Nov 16, 2015       D20-01-05 
 JD136F1195185CX29  CR-Z        2005  18435  24705  James, Alma             Sat, Nov 15, 2015       D20-01-07 
 JD138FU105X55C161  CR-Z        2005  20996  27705  Smith, Teresa           Fri, Nov 14, 2015       D20-01-04 
 JH153FU1323529B33  Odyssey     2002  24176  45825  Clark, Veronica         Wed, Nov 12, 2015       D20-01-02 
