Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Wed, Nov 12, 2015 thru Tue, Nov 18, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S136746X87A2  Civic        2015  15913  16655  Lawson, Carolyn         Wed, Nov 12, 2015       D29-25-02 
 JE142FU1674661X34  Crosstour    2015  36384  38640  Lawson, Carolyn         Sun, Nov 16, 2015       D29-25-02 
 JD137FU117465XC26  CR-Z         2015  23744  25705  Walker, Roland          Thu, Nov 13, 2015       D29-25-04 
 JJ16AF1137462A9C8  Pilot        2015  38570  41970  Rodriguez, Leonard      Wed, Nov 12, 2015       D29-25-01 
 JB121S1217464CC5X  Civic        2015  15558  16455  Walker, Roland          Thu, Nov 13, 2015       D29-25-04 
 JH155FU12746X8812  Odyssey      2015  45278  47825  Lucas, Jose             Sat, Nov 15, 2015       D29-25-06 
 JG148F1187463BB44  Insight      2015  23091  24390  Lawson, Carolyn         Tue, Nov 18, 2015       D29-25-02 
 JH152SU117464CC56  Odyssey      2015  28665  30375  Graham, Sheila          Tue, Nov 18, 2015       D29-25-03 
 JA117S33374672288  Accord       2015  23005  23480  Lawson, Carolyn         Wed, Nov 12, 2015       D29-25-02 
 JH159F4177461993X  Odyssey      2015  53024  56825  Coleman, Arnold         Fri, Nov 14, 2015       D29-25-05 
 JB121S12574661182  Civic        2015  16437  16455  Graham, Sheila          Fri, Nov 14, 2015       D29-25-03 
 JC132FU17746X8824  CR-V         2015  29808  31995  Lucas, Jose             Fri, Nov 14, 2015       D29-25-06 
 JB127S13A746X8826  Civic        2015  15824  16655  Coleman, Arnold         Mon, Nov 17, 2015       D29-25-05 
 JA1X9S42174619938  Accord       2015  32503  33089  Coleman, Arnold         Mon, Nov 17, 2015       D29-25-05 
 JH153FU137464CC7X  Odyssey      2015  42020  45825  Rodriguez, Leonard      Wed, Nov 12, 2015       D29-25-01 
 JE143FU17746X8832  Crosstour    2015  39259  40640  Lawson, Carolyn         Mon, Nov 17, 2015       D29-25-02 
 JH15AS1117462AA54  Odyssey      2015  28822  29375  Lawson, Carolyn         Thu, Nov 13, 2015       D29-25-02 
 JH15AS116746833B6  Odyssey      2015  27145  29375  Lucas, Jose             Fri, Nov 14, 2015       D29-25-06 
 JH154SU1874661198  Odyssey      2015  31657  32375  Lawson, Carolyn         Fri, Nov 14, 2015       D29-25-02 
 JB129S143746X884X  Civic        2015  22971  23055  Lucas, Jose             Sun, Nov 16, 2015       D29-25-06 
 JB128SU36746611A2  Civic        2015  17093  17455  Lucas, Jose             Thu, Nov 13, 2015       D29-25-06 
 JA111S134746722B4  Accord       2015  22424  22480  Lawson, Carolyn         Sat, Nov 15, 2015       D29-25-02 
 JB121S1297465XX96  Civic        2015  16525  16455  Graham, Sheila          Wed, Nov 12, 2015       D29-25-03 
 JB121S1297462AA68  Civic        2015  16876  16455  Lawson, Carolyn         Fri, Nov 14, 2015       D29-25-02 
 JD136F1137463BB8X  CR-Z         2015  23763  24705  Lucas, Jose             Sat, Nov 15, 2015       D29-25-06 
 JA1X1S1267465XXA2  Accord       2015  23827  24089  Lucas, Jose             Sun, Nov 16, 2015       D29-25-06 
 JA1X5SU25746722C4  Accord       2015  25251  27089  Lucas, Jose             Tue, Nov 18, 2015       D29-25-06 
 JB121S1207464CC96  Civic        2015  16085  16455  Graham, Sheila          Mon, Nov 17, 2015       D29-25-03 
 JA115SU3A7462AA78  Accord       2015  23412  25480  Rodriguez, Leonard      Fri, Nov 14, 2015       D29-25-01 
 JA1X2F126746722XX  Accord       2015  32788  33030  Lucas, Jose             Wed, Nov 12, 2015       D29-25-06 
 JA111S13974619972  Accord       2015  21244  22480  Coleman, Arnold         Tue, Nov 18, 2015       D29-25-05 
 JA112F1387464CCA4  Accord       2015  29968  32930  Lucas, Jose             Sat, Nov 15, 2015       D29-25-06 
 JB121S1207462AA86  Civic        2015  15822  16455  Lucas, Jose             Sat, Nov 15, 2015       D29-25-06 
 JB127S1347465XXB8  Civic        2015  16535  16655  Rodriguez, Leonard      Mon, Nov 17, 2015       D29-25-01 
 JJ163F31A7462AA9X  Pilot        2015  41669  42970  Lucas, Jose             Tue, Nov 18, 2015       D29-25-06 
 JB121S12A74672212  Civic        2015  16525  16455  Graham, Sheila          Tue, Nov 18, 2015       D29-25-03 
 JE141F11A7462AA94  Crosstour    2015  34500  37640  Lucas, Jose             Thu, Nov 13, 2015       D29-25-06 
 JE141F112746X8876  Crosstour    2015  35469  37640  Graham, Sheila          Tue, Nov 18, 2015       D29-25-03 
 JC135F4197465XXC8  CR-V         2015  36802  39995  Graham, Sheila          Wed, Nov 12, 2015       D29-25-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F1195136X411  Odyssey     2005  33562  44825  Coleman, Arnold         Wed, Nov 12, 2015       D29-25-05 
 JH153FU163X26X413  Odyssey     2003  28690  45825  Coleman, Arnold         Wed, Nov 12, 2015       D29-25-05 
 JD136F11441PX7B85  CR-Z        2004  16700  24705  Graham, Sheila          Sat, Nov 15, 2015       D29-25-03 
 JG148F11A4X74B2C7  Insight     2004  16041  24390  Lucas, Jose             Thu, Nov 13, 2015       D29-25-06 
 JE142FU1655271529  Crosstour   2005  29022  38640  Graham, Sheila          Sat, Nov 15, 2015       D29-25-03 
 JC133FU151215C311  CR-V        2001  13598  33995  Coleman, Arnold         Sun, Nov 16, 2015       D29-25-05 
 JG148F1153483A1C3  Insight     2003  14904  24390  Lucas, Jose             Wed, Nov 12, 2015       D29-25-06 
 JD137FU184263A1C5  CR-Z        2004  17358  25705  Graham, Sheila          Mon, Nov 17, 2015       D29-25-03 
 JC132FU145X83A1C7  CR-V        2005  23684  31995  Rodriguez, Leonard      Fri, Nov 14, 2015       D29-25-01 
 JH155FU1963682649  Odyssey     2006  38670  47825  Lawson, Carolyn         Sun, Nov 16, 2015       D29-25-02 
 JH159F419442X7BA1  Odyssey     2004  51750  56825  Lawson, Carolyn         Tue, Nov 18, 2015       D29-25-02 
 JJ16AF11231471543  Pilot       2003  25452  41970  Coleman, Arnold         Sat, Nov 15, 2015       D29-25-05 
 JH156S31644P71545  Odyssey     2004  19313  30375  Lucas, Jose             Sun, Nov 16, 2015       D29-25-06 
 JC132FU1325P6X437  CR-V        2002  16110  31995  Graham, Sheila          Tue, Nov 18, 2015       D29-25-03 
 JH151F1153395C329  Odyssey     2003  27165  44825  Rodriguez, Leonard      Mon, Nov 17, 2015       D29-25-01 
 JC132FU1A4X482791  CR-V        2004  21496  31995  Lucas, Jose             Tue, Nov 18, 2015       D29-25-06 
 JH15AS1123X582793  Odyssey     2003  18491  29375  Lucas, Jose             Tue, Nov 18, 2015       D29-25-06 
 JE142FU1743918X25  Crosstour   2004  25869  38640  Coleman, Arnold         Fri, Nov 14, 2015       D29-25-05 
 JG148F11A3194B357  Insight     2003  14904  24390  Lawson, Carolyn         Sat, Nov 15, 2015       D29-25-02 
