Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Wed, Dec 10, 2015 thru Tue, Dec 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE143FU1375P826A6  Crosstour    2015  40303  40640  Elliott, Jacqueline     Tue, Dec 16, 2015       D15-14-01 
 JE141F11A75PX7B28  Crosstour    2015  36051  37640  Murphy, Kelly           Sat, Dec 13, 2015       D15-14-07 
 JH158S41275P5C38X  Odyssey      2015  40375  41375  Bowman, Joan            Thu, Dec 11, 2015       D15-14-03 
 JH151F11075P29X52  Odyssey      2015  42503  44825  Murphy, Kelly           Wed, Dec 10, 2015       D15-14-07 
 JA1X9S42175P3A164  Accord       2015  30621  33089  Gardner, Joan           Sat, Dec 13, 2015       D15-14-09 
 JA1X1S12A75P826B6  Accord       2015  22440  24089  Gardner, Joan           Mon, Dec 15, 2015       D15-14-09 
 JC131F11075P29X58  CR-V         2015  29229  30995  Shelton, Monica         Sun, Dec 14, 2015       D15-14-06 
 JB121S12175P715BX  Civic        2015  16525  16455  Bowman, Joan            Mon, Dec 15, 2015       D15-14-03 
 JB129S14575P6X4A2  Civic        2015  22729  23055  Hall, Willie            Fri, Dec 12, 2015       D15-14-08 
 JB127S13475P29X64  Civic        2015  17068  16655  Murphy, Kelly           Mon, Dec 15, 2015       D15-14-07 
 JE141F11375P4B286  Crosstour    2015  37020  37640  Ramos, Maxine           Mon, Dec 15, 2015       D15-14-05 
 JA112F13A75P4B288  Accord       2015  30649  32930  Murphy, Kelly           Sun, Dec 14, 2015       D15-14-07 
 JA1X3SU2875P826XX  Accord       2015  23723  25089  Gonzales, Natalie       Fri, Dec 12, 2015       D15-14-04 
 JH159F41775P4B292  Odyssey      2015  56211  56825  Murphy, Kelly           Thu, Dec 11, 2015       D15-14-07 
 JA117S33675P4B294  Accord       2015  23005  23480  Gardner, Joan           Fri, Dec 12, 2015       D15-14-09 
 JG148F11875P29X76  Insight      2015  22963  24390  Hall, Willie            Fri, Dec 12, 2015       D15-14-08 
 JE145F41675P18C68  Crosstour    2015  42510  46640  Gonzales, Natalie       Mon, Dec 15, 2015       D15-14-04 
 JA112F13A75P18C7X  Accord       2015  31500  32930  Ramos, Maxine           Mon, Dec 15, 2015       D15-14-05 
 JB127S13675P3A192  Civic        2015  15646  16655  Ramos, Maxine           Fri, Dec 12, 2015       D15-14-05 
 JC133FU1975PX7B64  CR-V         2015  33188  33995  Woods, Tommy            Sun, Dec 14, 2015       D15-14-02 
 JD138FU1375P715X6  CR-Z         2015  26667  27705  Murphy, Kelly           Sun, Dec 14, 2015       D15-14-07 
 JH159F41775P18C78  Odyssey      2015  51865  56825  Hall, Willie            Wed, Dec 10, 2015       D15-14-08 
 JH15AS11175P7151X  Odyssey      2015  27145  29375  Gonzales, Natalie       Wed, Dec 10, 2015       D15-14-04 
 JB127S13375PX7B72  Civic        2015  16802  16655  Elliott, Jacqueline     Mon, Dec 15, 2015       D15-14-01 
 JB127S13975P6X4X4  Civic        2015  16179  16655  Woods, Tommy            Wed, Dec 10, 2015       D15-14-02 
 JB121S12375P82626  Civic        2015  15734  16455  Murphy, Kelly           Fri, Dec 12, 2015       D15-14-07 
 JC131F11175P29X98  CR-V         2015  31156  30995  Gardner, Joan           Fri, Dec 12, 2015       D15-14-09 
 JH153FU1375P6X41X  Odyssey      2015  44837  45825  Ramos, Maxine           Thu, Dec 11, 2015       D15-14-05 
 JH151F11A75P3A1B2  Odyssey      2015  41814  44825  Shelton, Monica         Mon, Dec 15, 2015       D15-14-06 
 JB129S14675PX7B84  Civic        2015  22608  23055  Hall, Willie            Sat, Dec 13, 2015       D15-14-08 
