Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Wed, Dec 10, 2015 thru Tue, Dec 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H15875P832X6  Civic        2015  27288  27600  Gregory, Brad           Mon, Dec 15, 2015       D28-20-05 
 JA113SU3175P832X8  Accord       2015  23497  23480  Gregory, Brad           Sat, Dec 13, 2015       D28-20-05 
 JB123H15675P2A98X  Civic        2015  26139  27600  Young, Bryan            Wed, Dec 10, 2015       D28-20-04 
 JB127S13875P61XC2  Civic        2015  17157  16655  Young, Bryan            Wed, Dec 10, 2015       D28-20-04 
 JH157F31A75P61XC4  Odyssey      2015  43663  45825  Sullivan, Jorge         Tue, Dec 16, 2015       D28-20-02 
 JB123H15475P2A986  Civic        2015  27145  27600  Stephens, Christy       Sat, Dec 13, 2015       D28-20-06 
 JB128SU3375PX8768  Civic        2015  16907  17455  Sullivan, Jorge         Tue, Dec 16, 2015       D28-20-02 
 JC131F11775PX877X  CR-V         2015  28265  30995  White, Ana              Sat, Dec 13, 2015       D28-20-03 
 JA111S13475P83222  Accord       2015  21008  22480  White, Ana              Fri, Dec 12, 2015       D28-20-03 
 JD136F11575P4CBB4  CR-Z         2015  24538  24705  Simpson, Charlene       Fri, Dec 12, 2015       D28-20-01 
 JA1X1S12375P72116  Accord       2015  22818  24089  Simpson, Charlene       Mon, Dec 15, 2015       D28-20-01 
 JE143FU1875P4CBB8  Crosstour    2015  38423  40640  Sullivan, Jorge         Sat, Dec 13, 2015       D28-20-02 
 JA1X3SU2075P7212X  Accord       2015  23592  25089  Young, Bryan            Sun, Dec 14, 2015       D28-20-04 
 JA112F13175P83232  Accord       2015  32181  32930  White, Ana              Wed, Dec 10, 2015       D28-20-03 
 JA1X1S12575P5XCX4  Accord       2015  22566  24089  Simpson, Charlene       Fri, Dec 12, 2015       D28-20-01 
 JA111S13275P2A9A6  Accord       2015  21362  22480  Stephens, Christy       Sun, Dec 14, 2015       D28-20-06 
 JB127S13375P61X18  Civic        2015  16979  16655  White, Ana              Thu, Dec 11, 2015       D28-20-03 
 JB129S14A75P3BACX  Civic        2015  21882  23055  Sullivan, Jorge         Fri, Dec 12, 2015       D28-20-02 
 JB123H15475P3BAC2  Civic        2015  26570  27600  Young, Bryan            Mon, Dec 15, 2015       D28-20-04 
 JE143FU1A75P3BAC4  Crosstour    2015  38214  40640  White, Ana              Thu, Dec 11, 2015       D28-20-03 
 JD137FU1475PX8796  CR-Z         2015  24683  25705  Young, Bryan            Tue, Dec 16, 2015       D28-20-04 
 JB128SU3575P61X28  Civic        2015  16536  17455  Gregory, Brad           Tue, Dec 16, 2015       D28-20-05 
 JB129S14575PX87AX  Civic        2015  21762  23055  Sullivan, Jorge         Tue, Dec 16, 2015       D28-20-02 
 JC131F11775P3BAX2  CR-V         2015  30192  30995  White, Ana              Sun, Dec 14, 2015       D28-20-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1281X64B289  Civic       2001  7075   16455  Stephens, Christy       Tue, Dec 16, 2015       D28-20-06 
 JH153FU164X3X7B51  Odyssey     2004  29760  45825  Sullivan, Jorge         Tue, Dec 16, 2015       D28-20-02 
 JC131F1132X929X73  CR-V        2002  15610  30995  Simpson, Charlene       Sun, Dec 14, 2015       D28-20-01 
 JB121S1296X7X7B55  Civic       2006  14239  16455  Young, Bryan            Fri, Dec 12, 2015       D28-20-04 
 JB121S1245X33A187  Civic       2005  12738  16455  Gregory, Brad           Sat, Dec 13, 2015       D28-20-05 
 JB127S1332153A189  Civic       2002  8862   16655  Young, Bryan            Tue, Dec 16, 2015       D28-20-04 
 JH151F111452715X1  Odyssey     2004  29939  44825  Gregory, Brad           Sat, Dec 13, 2015       D28-20-05 
 JH155FU11534715X3  Odyssey     2005  34399  47825  Young, Bryan            Sat, Dec 13, 2015       D28-20-04 
 JH154SU174334B2A5  Odyssey     2004  21746  32375  Young, Bryan            Tue, Dec 16, 2015       D28-20-04 
 JG148F11573318C77  Insight      2015  23294  24390  Simpson, Charlene       Thu, Dec 11, 2015       D28-20-01 
 JB127S138635X7B69  Civic       2006  14224  16655  Stephens, Christy       Tue, Dec 16, 2015       D28-20-06 
 JH153FU104285C3C1  Odyssey     2004  28923  45825  Sullivan, Jorge         Fri, Dec 12, 2015       D28-20-02 
 JB121S12A445X7B73  Civic       2004  11271  16455  White, Ana              Tue, Dec 16, 2015       D28-20-03 
 JG148F11363329X95  Insight     2006  20412  24390  Simpson, Charlene       Fri, Dec 12, 2015       D28-20-01 
 JB129S1402176X4X7  Civic       2002  12222  23055  Gregory, Brad           Wed, Dec 10, 2015       D28-20-05 
 JH151F1105226X4X9  Odyssey     2005  32922  44825  Sullivan, Jorge         Fri, Dec 12, 2015       D28-20-02 
 JC135F41141171521  CR-V        2004  26028  39995  Young, Bryan            Sat, Dec 13, 2015       D28-20-04 
