Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Wed, Dec 10, 2015 thru Tue, Dec 16, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S12075PX9394  Accord       2015  23196  24089  Adams, Danny            Tue, Dec 16, 2015       D39-20-05 
 JB13ASU4175P62926  Civic        2015  23855  23855  Lynch, Stacey           Sat, Dec 13, 2015       D39-20-04 
 JB121S12775P62928  Civic        2015  16085  16455  Medina, Jamie           Mon, Dec 15, 2015       D39-20-02 
 JB121S12175P2B5CX  Civic        2015  16876  16455  Lynch, Stacey           Wed, Dec 10, 2015       D39-20-04 
 JJ161FU1575P1A4B2  Pilot        2015  41008  42970  Rivera, Jesus           Thu, Dec 11, 2015       D39-20-03 
 JB127S13375P62934  Civic        2015  15735  16655  Rivera, Jesus           Sun, Dec 14, 2015       D39-20-03 
 JF146S11A75PX93A6  Fit          2015  16035  16025  Rivera, Jesus           Wed, Dec 10, 2015       D39-20-03 
 JB127S13A75P4X718  Civic        2015  15824  16655  Adams, Danny            Sun, Dec 14, 2015       D39-20-05 
 JA111S13A75P3C74X  Accord       2015  21008  22480  Medina, Jamie           Thu, Dec 11, 2015       D39-20-02 
 JB127S13875P73B82  Civic        2015  15646  16655  Lynch, Stacey           Mon, Dec 15, 2015       D39-20-04 
 JD138FU1375P1A524  CR-Z         2015  25658  27705  Adams, Danny            Sat, Dec 13, 2015       D39-20-05 
 JD137FU1675P4X856  CR-Z         2015  24012  25705  Medina, Jamie           Sun, Dec 14, 2015       D39-20-02 
 JG148F11575P2B638  Insight      2015  23473  24390  Edwards, Julio          Tue, Dec 16, 2015       D39-20-01 
 JG148F11775P73B9X  Insight      2015  23601  24390  Adams, Danny            Tue, Dec 16, 2015       D39-20-05 
 JA112F13475P84CA2  Accord       2015  32181  32930  Rivera, Jesus           Mon, Dec 15, 2015       D39-20-03 
 JJ161FU1275P73B94  Pilot        2015  39024  42970  Evans, Violet           Tue, Dec 16, 2015       D39-20-06 
 JB121S12775P51976  Civic        2015  16173  16455  Adams, Danny            Fri, Dec 12, 2015       D39-20-05 
 JB121S12675PX9428  Civic        2015  15558  16455  Lynch, Stacey           Thu, Dec 11, 2015       D39-20-04 
 JG148F11175P84CBX  Insight      2015  24111  24390  Rivera, Jesus           Fri, Dec 12, 2015       D39-20-03 
 JB129S14975P2B652  Civic        2015  23212  23055  Lynch, Stacey           Mon, Dec 15, 2015       D39-20-04 
 JB123H15A75P1A544  Civic        2015  27145  27600  Edwards, Julio          Mon, Dec 15, 2015       D39-20-01 
 JA115SU3175P62A96  Accord       2015  25673  25480  Evans, Violet           Thu, Dec 11, 2015       D39-20-06 
 JH153FU1575P73BA8  Odyssey      2015  42255  45825  Adams, Danny            Mon, Dec 15, 2015       D39-20-05 
 JH151F11875P5199X  Odyssey      2015  42963  44825  Adams, Danny            Thu, Dec 11, 2015       D39-20-05 
 JA118F33975P3C772  Accord       2015  33652  33930  Medina, Jamie           Fri, Dec 12, 2015       D39-20-02 
 JB121S12975P51994  Civic        2015  15822  16455  Lynch, Stacey           Sun, Dec 14, 2015       D39-20-04 
 JA113SU3975P3C776  Accord       2015  22267  23480  Adams, Danny            Fri, Dec 12, 2015       D39-20-05 
 JA112F13875P2B668  Accord       2015  30308  32930  Rivera, Jesus           Tue, Dec 16, 2015       D39-20-03 
 JA111S13875P1A56X  Accord       2015  21716  22480  Medina, Jamie           Thu, Dec 11, 2015       D39-20-02 
 JD138FU1775P62AB2  CR-Z         2015  26956  27705  Adams, Danny            Fri, Dec 12, 2015       D39-20-05 
 JD136F11475P519A4  CR-Z         2015  24796  24705  Adams, Danny            Mon, Dec 15, 2015       D39-20-05 
 JK166FU1975P84CX6  Ridgeline    2015  43498  47750  Adams, Danny            Wed, Dec 10, 2015       D39-20-05 
 JD137FU1075PX9458  CR-Z         2015  25622  25705  Medina, Jamie           Sat, Dec 13, 2015       D39-20-02 
 JD137FU1775P4X8AX  CR-Z         2015  24683  25705  Medina, Jamie           Thu, Dec 11, 2015       D39-20-02 
 JC134F31775P62AC2  CR-V         2015  31132  31995  Adams, Danny            Wed, Dec 10, 2015       D39-20-05 
 JB127S13675P84C14  Civic        2015  16268  16655  Rivera, Jesus           Fri, Dec 12, 2015       D39-20-03 
 JC131F11675P519B6  CR-V         2015  30674  30995  Edwards, Julio          Sat, Dec 13, 2015       D39-20-01 
 JC132FU1475P84C18  CR-V         2015  29642  31995  Adams, Danny            Mon, Dec 15, 2015       D39-20-05 
 JB127S13075P62AXX  Civic        2015  16446  16655  Edwards, Julio          Wed, Dec 10, 2015       D39-20-01 
 JA1X1S12475P73B12  Accord       2015  22692  24089  Medina, Jamie           Sat, Dec 13, 2015       D39-20-02 
 JB127S13975P3C7A4  Civic        2015  15646  16655  Evans, Violet           Sun, Dec 14, 2015       D39-20-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS11663472CC9  Odyssey     2006  24705  29375  Medina, Jamie           Thu, Dec 11, 2015       D39-20-02 
 JH15AS11863872CX1  Odyssey     2006  24705  29375  Medina, Jamie           Sun, Dec 14, 2015       D39-20-02 
 JE141F1151313B893  Crosstour   2001  15056  37640  Lynch, Stacey           Sun, Dec 14, 2015       D39-20-04 
 JB129S1423X319675  Civic       2003  14573  23055  Rivera, Jesus           Sat, Dec 13, 2015       D39-20-03 
 JH154SU163253B897  Odyssey     2003  19695  32375  Adams, Danny            Mon, Dec 15, 2015       D39-20-05 
 JD136F1184X319679  CR-Z        2004  16700  24705  Adams, Danny            Tue, Dec 16, 2015       D39-20-05 
 JH152SU1411283X21  Odyssey     2001  13061  30375  Medina, Jamie           Wed, Dec 10, 2015       D39-20-02 
 JH153FU1841519683  Odyssey     2004  29760  45825  Medina, Jamie           Thu, Dec 11, 2015       D39-20-02 
 JA113SU304253B8A5  Accord      2004  15893  23480  Evans, Violet           Sun, Dec 14, 2015       D39-20-06 
 JB123H15754883X27  Civic       2005  20919  27600  Evans, Violet           Thu, Dec 11, 2015       D39-20-06 
 JG148F117435X8579  Insight     2004  16041  24390  Rivera, Jesus           Tue, Dec 16, 2015       D39-20-03 
 JH158S4154X761B11  Odyssey     2004  26912  41375  Edwards, Julio          Sat, Dec 13, 2015       D39-20-01 
 JH151F11861772C23  Odyssey     2006  36760  44825  Lynch, Stacey           Sun, Dec 14, 2015       D39-20-04 
 JC131F1187443B8B5  CR-V         2015  29110  30995  Edwards, Julio          Sun, Dec 14, 2015       D39-20-01 
 JH152SU1A646X8587  Odyssey     2006  25515  30375  Lynch, Stacey           Sun, Dec 14, 2015       D39-20-04 
 JB127S1323X661B19  Civic       2003  10605  16655  Lynch, Stacey           Thu, Dec 11, 2015       D39-20-04 
 JC131F11734761B21  CR-V        2003  18867  30995  Evans, Violet           Sun, Dec 14, 2015       D39-20-06 
 JH152SU13418196A3  Odyssey     2004  20430  30375  Lynch, Stacey           Wed, Dec 10, 2015       D39-20-04 
