Dealer Name: Honda Pro
Address:     923 Green St
             Brookland, GA
Dealer ID:   27
Owner:       Palmer, John
Date:        Wed, Dec 17, 2015 thru Tue, Dec 23, 2015  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S137751X8696  Civic        2015  16268  16655  Shelton, Regina         Fri, Dec 19, 2015       D27-24-02 
 JD136F1167512A8B8  CR-Z         2015  22730  24705  Scott, Samuel           Tue, Dec 23, 2015       D27-24-06 
 JH152SU117512A8CX  Odyssey      2015  29452  30375  Hill, Rita              Fri, Dec 19, 2015       D27-24-01 
 JD136F1177514CA12  CR-Z         2015  23376  24705  Scott, Samuel           Wed, Dec 17, 2015       D27-24-06 
 JA1X1S1207512A8C4  Accord       2015  23322  24089  Shelton, Regina         Thu, Dec 18, 2015       D27-24-02 
 JK167FU147514CA16  Ridgeline    2015  46041  49750  Perkins, Pearl          Sat, Dec 20, 2015       D27-24-03 
 JB127S1317515XB28  Civic        2015  16624  16655  Hill, Rita              Mon, Dec 22, 2015       D27-24-01 
 JB121S1237512A93X  Civic        2015  15734  16455  Perkins, Pearl          Thu, Dec 18, 2015       D27-24-03 
 JD136F1117512A932  CR-Z         2015  23892  24705  Scott, Samuel           Tue, Dec 23, 2015       D27-24-06 
 JH151F11775161X74  Odyssey      2015  42963  44825  Howard, Samantha        Thu, Dec 18, 2015       D27-24-05 
 JA1X7S32A751X8716  Accord       2015  24641  25089  Hill, Rita              Thu, Dec 18, 2015       D27-24-01 
 JC131F1187515XC68  CR-V         2015  29871  30995  Scott, Samuel           Sat, Dec 20, 2015       D27-24-06 
 JH157F3157512A94X  Odyssey      2015  43194  45825  Perkins, Pearl          Sun, Dec 21, 2015       D27-24-03 
 JG148F1197513BA52  Insight      2015  24749  24390  Scott, Samuel           Wed, Dec 17, 2015       D27-24-06 
 JA1X9S42875172194  Accord       2015  30279  33089  Perkins, Pearl          Tue, Dec 23, 2015       D27-24-03 
 JK166FU187512A946  Ridgeline    2015  44231  47750  Howard, Samantha        Sun, Dec 21, 2015       D27-24-05 
 JB127S1327513BA58  Civic        2015  17068  16655  Howard, Samantha        Mon, Dec 22, 2015       D27-24-05 
 JA1X2F1237513BA6X  Accord       2015  31081  33030  Hill, Rita              Wed, Dec 17, 2015       D27-24-01 
 JA1X9S4207515XC82  Accord       2015  31647  33089  Shelton, Regina         Tue, Dec 23, 2015       D27-24-02 
 JA1X1S12575161X94  Accord       2015  23953  24089  Perkins, Pearl          Mon, Dec 22, 2015       D27-24-03 
 JB129S14975119846  Civic        2015  23091  23055  Wright, Marion          Wed, Dec 17, 2015       D27-24-04 
 JB121S12575119848  Civic        2015  15646  16455  Scott, Samuel           Thu, Dec 18, 2015       D27-24-06 
 JB121S1257513BA7X  Civic        2015  15646  16455  Wright, Marion          Tue, Dec 23, 2015       D27-24-04 
 JK169F41175119852  Ridgeline    2015  57779  58750  Howard, Samantha        Sat, Dec 20, 2015       D27-24-05 
 JB122SU2A75119854  Civic        2015  17277  17255  Shelton, Regina         Sun, Dec 21, 2015       D27-24-02 
 JC133FU157512A966  CR-V         2015  33890  33995  Hill, Rita              Mon, Dec 22, 2015       D27-24-01 
 JA113SU347512A968  Accord       2015  22636  23480  Scott, Samuel           Mon, Dec 22, 2015       D27-24-06 
 JD136F11275161XBX  CR-Z         2015  24538  24705  Howard, Samantha        Thu, Dec 18, 2015       D27-24-05 
 JB123H1517515XCA2  Civic        2015  27863  27600  Hill, Rita              Sat, Dec 20, 2015       D27-24-01 
 JC131F1117514CB94  CR-V         2015  29068  30995  Hill, Rita              Sun, Dec 21, 2015       D27-24-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1292285C225  Civic       2002  8757   16455  Hill, Rita              Sun, Dec 21, 2015       D27-24-01 
 JH154SU134216X337  Odyssey     2004  21746  32375  Perkins, Pearl          Thu, Dec 18, 2015       D27-24-03 
 JH153FU1441218BB9  Odyssey     2004  30597  45825  Scott, Samuel           Sat, Dec 20, 2015       D27-24-06 
 JB121S120137X7B11  Civic       2001  7075   16455  Hill, Rita              Mon, Dec 22, 2015       D27-24-01 
 JB121S1224X94B253  Civic       2004  11271  16455  Scott, Samuel           Thu, Dec 18, 2015       D27-24-06 
 JH15AS1174383A145  Odyssey     2004  18691  29375  Shelton, Regina         Tue, Dec 23, 2015       D27-24-02 
 JB129S1425284B257  Civic       2005  17247  23055  Howard, Samantha        Fri, Dec 19, 2015       D27-24-05 
 JB127S13852429X39  Civic       2005  12639  16655  Scott, Samuel           Mon, Dec 22, 2015       D27-24-06 
 JH155FU1262618C31  Odyssey     2006  38670  47825  Perkins, Pearl          Fri, Dec 19, 2015       D27-24-03 
 JG148F11134P71593  Insight     2003  14904  24390  Wright, Marion          Tue, Dec 23, 2015       D27-24-04 
 JB127S1364444B265  Civic       2004  11403  16655  Howard, Samantha        Mon, Dec 22, 2015       D27-24-05 
